,x_UTM18N,y_UTM18N,FGRAVFL15
0,257390.43,4204849.86,4.13
1,257372.53,4204827.17,4.05
2,257354.65,4204804.55,3.97
3,257336.81,4204781.98,3.88
4,257318.99,4204759.44,3.8
5,257301.21,4204736.9,3.72
6,257283.44,4204714.31,3.64
7,257265.68,4204691.7,3.56
8,257247.9,4204669.05,3.49
9,257230.08,4204646.42,3.41
10,257212.17,4204623.83,3.33
11,257194.15,4204601.27,3.26
12,257176.0,4204578.76,3.19
13,257157.73,4204556.27,3.12
14,257139.34,4204533.77,3.05
15,257120.87,4204511.25,2.98
16,257102.34,4204488.69,2.92
17,257083.75,4204466.13,2.86
18,257065.12,4204443.57,2.8
19,257046.49,4204421.04,2.75
20,257027.85,4204398.54,2.7
21,257009.25,4204376.04,2.65
22,256990.72,4204353.52,2.61
23,256972.3,4204330.94,2.57
24,256954.0,4204308.27,2.53
25,256935.8,4204285.51,2.5
26,256917.65,4204262.69,2.47
27,256899.52,4204239.86,2.44
28,256881.36,4204217.09,2.42
29,256863.16,4204194.39,2.39
30,256844.93,4204171.77,2.38
31,256826.7,4204149.22,2.36
32,256808.51,4204126.7,2.35
33,256790.38,4204104.16,2.34
34,256772.33,4204081.6,2.34
35,256754.33,4204059.01,2.34
36,256736.34,4204036.41,2.34
37,256718.28,4204013.82,2.34
38,256700.12,4203991.25,2.34
39,256681.79,4203968.73,2.35
40,256663.28,4203946.19,2.36
41,256644.57,4203923.63,2.37
42,256625.68,4203901.02,2.39
43,256606.64,4203878.33,2.4
44,256587.49,4203855.55,2.42
45,256568.31,4203832.69,2.44
46,256549.12,4203809.75,2.46
47,256529.98,4203786.76,2.49
48,256510.91,4203763.7,2.51
49,256491.91,4203740.59,2.53
50,256472.93,4203717.44,2.56
51,256453.95,4203694.23,2.59
52,256434.91,4203670.98,2.61
53,256415.77,4203647.69,2.64
54,256396.54,4203624.38,2.67
55,256377.22,4203601.04,2.69
56,256357.87,4203577.66,2.72
57,256338.59,4203554.23,2.75
58,256319.42,4203530.72,2.77
59,256300.41,4203507.12,2.8
60,256281.58,4203483.39,2.82
61,256262.93,4203459.58,2.84
62,256244.42,4203435.66,2.86
63,256226.01,4203411.67,2.88
64,256207.67,4203387.63,2.9
65,256189.37,4203363.56,2.91
66,256171.07,4203339.47,2.93
67,256152.78,4203315.37,2.94
68,256134.47,4203291.22,2.94
69,256116.14,4203267.04,2.95
70,256097.79,4203242.81,2.95
71,256079.42,4203218.57,2.95
72,256060.98,4203194.31,2.94
73,256042.5,4203170.09,2.93
74,256023.94,4203145.93,2.92
75,256005.31,4203121.85,2.9
76,255986.61,4203097.86,2.88
77,255967.86,4203073.95,2.86
78,255949.09,4203050.08,2.83
79,255930.31,4203026.21,2.8
80,255911.53,4203002.33,2.77
81,255892.75,4202978.45,2.73
82,255873.94,4202954.56,2.69
83,255855.08,4202930.69,2.64
84,255836.14,4202906.89,2.59
85,255817.1,4202883.15,2.54
86,255798.0,4202859.48,2.49
87,255778.86,4202835.88,2.43
88,255759.72,4202812.29,2.36
89,255740.6,4202788.71,2.3
90,255721.5,4202765.12,2.23
91,255702.4,4202741.53,2.16
92,255683.25,4202717.98,2.08
93,255663.97,4202694.51,2.0
94,255644.53,4202671.15,1.93
95,255624.88,4202647.94,1.85
96,255605.08,4202624.87,1.76
97,255585.16,4202601.95,1.68
98,255565.19,4202579.12,1.59
99,255545.25,4202556.37,1.51
100,255525.41,4202533.64,1.42
101,255505.67,4202510.94,1.34
102,255486.07,4202488.24,1.25
103,255466.56,4202465.52,1.16
104,255447.1,4202442.8,1.08
105,255427.65,4202420.06,0.99
106,255408.18,4202397.3,0.91
107,255388.68,4202374.56,0.83
108,255369.17,4202351.82,0.74
109,255349.68,4202329.09,0.66
110,255330.28,4202306.39,0.59
111,255311.02,4202283.72,0.51
112,255291.94,4202261.06,0.44
113,255273.08,4202238.41,0.37
114,255254.45,4202215.76,0.3
115,255235.98,4202193.12,0.23
116,255217.63,4202170.51,0.17
117,255199.33,4202147.95,0.11
118,255181.02,4202125.47,0.06
119,255162.67,4202103.08,0.01
120,255144.29,4202080.79,-0.04
121,255125.91,4202058.57,-0.08
122,255107.6,4202036.39,-0.12
123,255089.39,4202014.22,-0.16
124,255071.31,4201992.03,-0.19
125,255053.33,4201969.84,-0.22
126,255035.42,4201947.68,-0.24
127,255017.55,4201925.59,-0.27
128,254999.68,4201903.59,-0.28
129,254981.83,4201881.7,-0.3
130,254964.01,4201859.91,-0.3
131,254946.29,4201838.18,-0.31
132,254928.69,4201816.49,-0.31
133,254911.26,4201794.81,-0.31
134,254893.95,4201773.14,-0.3
135,254876.71,4201751.51,-0.29
136,254859.51,4201729.92,-0.28
137,254842.29,4201708.39,-0.27
138,254825.05,4201686.95,-0.25
139,254807.78,4201665.54,-0.22
140,254790.54,4201644.15,-0.2
141,254773.32,4201622.73,-0.17
142,254756.13,4201601.28,-0.14
143,254738.97,4201579.78,-0.1
144,254721.8,4201558.27,-0.07
145,254704.56,4201536.77,-0.03
146,254687.22,4201515.3,0.02
147,254669.8,4201493.91,0.06
148,254652.34,4201472.55,0.11
149,254634.87,4201451.22,0.16
150,254617.42,4201429.88,0.21
151,254600.05,4201408.52,0.26
152,254582.73,4201387.1,0.32
153,254565.48,4201365.65,0.38
154,254548.26,4201344.16,0.44
155,254531.09,4201322.67,0.5
156,254513.99,4201301.19,0.57
157,254496.95,4201279.78,0.63
158,254480.02,4201258.44,0.7
159,254463.2,4201237.17,0.77
160,254446.5,4201216.0,0.84
161,254429.87,4201194.9,0.91
162,254413.3,4201173.86,0.98
163,254396.74,4201152.87,1.05
164,254380.18,4201131.92,1.12
165,254363.58,4201110.97,1.2
166,254346.96,4201090.04,1.27
167,254330.31,4201069.12,1.35
168,254313.64,4201048.23,1.42
